
Student_ID,study_hours,attendance_percentage,parental_education,test_preparation,extracurricular_participation,past_grade,performance_category
1,4.99,71.28,PhD,Completed,Yes,92.56,High
2,3.72,67.1,Bachelors,None,No,74.76,Low
3,5.3,90.02,Masters,None,No,74.03,High
4,7.05,92.27,HighSchool,None,Yes,79.62,High
5,3.53,99.62,PhD,None,Yes,91.23,High
6,3.53,76.5,HighSchool,None,Yes,67.39,Low
7,7.16,74.88,Bachelors,Completed,Yes,83.9,High
8,5.53,91.06,Bachelors,Completed,No,78.29,High
9,3.06,73.63,Bachelors,Completed,Yes,63.35,Low
10,5.09,97.23,PhD,Completed,No,93.93,High
11,3.07,94.34,Masters,None,No,89.87,Medium
12,3.07,77.16,PhD,None,Yes,82.92,Medium
13,4.48,90.03,HighSchool,None,No,92.53,Medium
14,0.17,90.18,PhD,None,No,93.36,Low
15,0.55,64.12,HighSchool,Completed,No,85.42,Low
16,2.88,96.1,PhD,None,No,91.85,Medium
17,1.97,80.21,Masters,None,Yes,84.87,Low
18,4.63,93.06,HighSchool,Completed,Yes,84.01,High
19,2.18,72.8,Bachelors,Completed,No,80.93,Low
20,1.18,95.82,Bachelors,Completed,Yes,87.64,Medium
21,6.93,75.57,PhD,Completed,Yes,57.93,High
22,3.55,60.43,Bachelors,None,Yes,94.04,Low
23,4.14,96.22,HighSchool,None,Yes,93.59,High
24,1.15,63.65,Bachelors,Completed,Yes,51.46,Low
25,2.91,72.77,Masters,None,No,91.29,Low
26,4.22,98.0,Masters,None,Yes,56.44,Medium
27,1.7,98.02,PhD,None,Yes,66.76,Low
28,4.75,82.94,HighSchool,Completed,Yes,87.18,High
29,2.8,85.27,Masters,None,Yes,58.04,Low
30,3.42,77.94,Masters,Completed,No,90.9,Medium
31,2.8,71.73,HighSchool,None,No,91.61,Low
32,7.7,73.15,Bachelors,None,No,75.37,High
33,3.97,86.9,Bachelors,None,No,50.32,Low
34,1.88,90.09,PhD,Completed,Yes,64.35,Medium
35,5.65,91.66,Bachelors,None,No,80.85,High
36,1.56,91.58,HighSchool,Completed,Yes,99.06,Medium
37,4.42,63.65,Masters,Completed,Yes,81.59,Medium
38,0.08,79.78,Bachelors,Completed,Yes,62.99,Low
39,1.34,62.3,PhD,None,Yes,81.7,Low
40,4.39,81.98,Bachelors,None,Yes,77.0,Medium
41,5.48,77.66,HighSchool,None,No,88.99,Medium
42,4.34,95.51,PhD,None,No,55.35,Medium
43,3.77,74.04,Bachelors,Completed,No,88.05,Medium
44,3.4,64.68,PhD,Completed,No,77.06,Medium
45,1.04,65.72,HighSchool,Completed,Yes,98.15,Low
46,2.56,90.46,Masters,None,No,67.09,Low
47,3.08,84.73,HighSchool,Completed,Yes,81.63,Medium
48,6.11,64.04,HighSchool,None,No,96.6,High
49,4.69,63.36,HighSchool,Completed,Yes,55.13,Low
50,0.47,88.04,HighSchool,None,Yes,96.86,Low
51,4.65,62.91,Masters,None,No,84.39,Medium
52,3.23,92.87,Masters,Completed,Yes,53.39,Medium
53,2.65,88.25,PhD,Completed,Yes,65.05,Medium
54,5.22,63.25,Bachelors,Completed,No,85.41,Medium
55,6.06,63.39,Masters,Completed,Yes,53.37,Medium
56,5.86,99.47,Masters,None,No,79.11,High
57,2.32,74.97,Bachelors,Completed,No,67.29,Low
58,3.38,74.83,Masters,Completed,No,81.05,Medium
59,4.66,92.51,HighSchool,Completed,Yes,52.29,Medium
60,5.95,97.89,HighSchool,None,Yes,93.58,High
61,3.04,99.44,Bachelors,None,Yes,98.67,Medium
62,3.63,90.14,PhD,Completed,No,98.44,High
63,1.79,75.05,PhD,None,Yes,87.48,Low
64,1.61,63.34,Bachelors,Completed,No,56.5,Low
65,5.63,91.09,Bachelors,None,No,87.91,High
66,6.71,82.34,HighSchool,None,Yes,51.23,High
67,3.86,76.97,PhD,None,No,51.11,Low
68,6.01,96.25,Masters,None,Yes,66.18,High
69,4.72,64.45,HighSchool,Completed,Yes,74.43,Medium
70,2.71,79.71,Bachelors,Completed,Yes,88.52,Medium
71,4.72,60.45,PhD,Completed,Yes,84.16,Medium
72,7.08,78.75,Masters,None,Yes,72.3,High
73,3.93,62.25,Masters,Completed,No,63.68,Low
74,7.13,64.75,HighSchool,Completed,No,99.86,High
75,0.0,64.7,PhD,Completed,No,71.31,Low
76,5.64,85.97,PhD,None,Yes,72.57,High
77,4.17,89.84,Bachelors,None,Yes,58.18,Medium
78,3.4,83.33,PhD,None,Yes,89.74,Medium
79,4.18,98.49,PhD,Completed,No,84.68,High
80,0.02,74.99,HighSchool,Completed,Yes,61.04,Low
81,3.56,71.43,PhD,Completed,No,54.12,Low
82,4.71,94.74,Masters,None,No,84.02,High
83,6.96,68.94,HighSchool,None,Yes,82.73,High
84,2.96,98.53,HighSchool,Completed,Yes,63.66,Medium
85,2.38,60.49,Bachelors,None,No,97.54,Low
86,3.0,98.8,PhD,None,Yes,57.55,Medium
87,5.83,61.73,Bachelors,None,No,71.62,Medium
88,4.66,95.65,Masters,None,Yes,97.18,High
89,2.94,81.11,HighSchool,Completed,Yes,70.99,Low
90,5.03,99.72,HighSchool,None,No,81.93,High
